CustomerID,Age,Gender,Location,IncomeLevel,SignupDate,TransactionID,TransactionDate,Amount,ProductCategory,PaymentMethod,InteractionID,InteractionDate,Platform,InteractionType,Sentiment
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,504a03b0-294d-4e3c-9bf7-46935ba6c47a,2023-01-22,500.33,Clothing,Debit Card,0626cfe9-8e7f-4b19-ba9b-21330cd007c8,2024-01-11,Instagram,Comment,Negative
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,504a03b0-294d-4e3c-9bf7-46935ba6c47a,2023-01-22,500.33,Clothing,Debit Card,20320eb9-5f38-41f5-b855-e0a0880d8c46,2023-08-25,Facebook,Share,Positive
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,d4922534-dfd9-47d9-8fc8-d0421284b682,2022-09-14,660.87,Home & Garden,Bank Transfer,0626cfe9-8e7f-4b19-ba9b-21330cd007c8,2024-01-11,Instagram,Comment,Negative
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17,d4922534-dfd9-47d9-8fc8-d0421284b682,2022-09-14,660.87,Home & Garden,Bank Transfer,20320eb9-5f38-41f5-b855-e0a0880d8c46,2023-08-25,Facebook,Share,Positive
5fb09cd8-a473-46f7-80bd-6e49cf509078,46.0,Female,Castilloport,High,2020-07-21,99917043-698e-4753-a1fb-61b4afdd4da3,2022-11-11,976.88,Electronics,PayPal,3d962e49-3930-4131-aa8f-ad8753338770,2024-01-01,Instagram,Share,Positive
5fb09cd8-a473-46f7-80bd-6e49cf509078,46.0,Female,Castilloport,High,2020-07-21,99917043-698e-4753-a1fb-61b4afdd4da3,2022-11-11,976.88,Electronics,PayPal,eb016f64-afd0-4bd7-85e6-7b136b3c6e8c,2023-12-02,Instagram,Share,Negative
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24,1c31455b-ee29-430d-b9c8-171ee90f90ba,2024-05-22,733.46,Automotive,PayPal,89c2de5a-7b8a-4511-ae13-347df2b99e0d,2024-04-09,Instagram,Like,Negative
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24,1c31455b-ee29-430d-b9c8-171ee90f90ba,2024-05-22,733.46,Automotive,PayPal,4ecffff0-d9e7-4ca1-ad41-67d853c339ee,2023-09-01,Twitter,Share,Positive
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,8b7c550f-4acc-4333-a144-cc4d75aa8d1a,2024-01-24,500.33,Home & Garden,PayPal,39bff46a-8e21-4bed-b9a9-16f9daef972f,2023-10-15,Twitter,Comment,Positive
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13,8b7c550f-4acc-4333-a144-cc4d75aa8d1a,2024-01-24,500.33,Home & Garden,PayPal,acf1fab3-5649-4b34-a348-97537b19954c,2024-05-15,Instagram,Share,Positive
